dataset,model_size,milestone,vocab_size,seed,task,acc
tinystories,60m,25,8000,0,irregular_plural_subject_verb_agreement_2,0.565
tinystories,60m,25,8000,0,left_branch_island_echo_question,0.577
tinystories,60m,25,8000,0,left_branch_island_simple_question,0.489
tinystories,60m,25,8000,0,matrix_question_npi_licensor_present,0.084
tinystories,60m,25,8000,0,npi_present_1,0.16
tinystories,60m,25,8000,0,npi_present_2,0.2
tinystories,60m,25,8000,0,only_npi_licensor_present,0.004
tinystories,60m,25,8000,0,only_npi_scope,0.042
tinystories,60m,25,8000,0,passive_1,0.605
tinystories,60m,25,8000,0,passive_2,0.603
tinystories,60m,25,8000,0,principle_a_c_command,0.345
tinystories,60m,25,8000,0,principle_a_case_1,1.0
tinystories,60m,25,8000,0,principle_a_case_2,0.484
tinystories,60m,25,8000,0,principle_a_domain_1,0.986
tinystories,60m,25,8000,0,principle_a_domain_2,0.553
tinystories,60m,25,8000,0,principle_a_domain_3,0.471
tinystories,60m,25,8000,0,principle_a_reconstruction,0.288
tinystories,60m,25,8000,0,regular_plural_subject_verb_agreement_1,0.581
tinystories,60m,25,8000,0,regular_plural_subject_verb_agreement_2,0.502
tinystories,60m,25,8000,0,sentential_negation_npi_licensor_present,0.995
tinystories,60m,25,8000,0,sentential_negation_npi_scope,0.424
tinystories,60m,25,8000,0,sentential_subject_island,0.444
tinystories,60m,25,8000,0,superlative_quantifiers_1,0.509
tinystories,60m,25,8000,0,superlative_quantifiers_2,0.7
tinystories,60m,25,8000,0,tough_vs_raising_1,0.532
tinystories,60m,25,8000,0,tough_vs_raising_2,0.502
tinystories,60m,25,8000,0,transitive,0.574
tinystories,60m,25,8000,0,wh_island,0.63
tinystories,60m,25,8000,0,wh_questions_object_gap,0.669
tinystories,60m,25,8000,0,wh_questions_subject_gap,0.884
tinystories,60m,25,8000,0,wh_questions_subject_gap_long_distance,0.902
tinystories,60m,25,8000,0,wh_vs_that_no_gap,0.923
tinystories,60m,25,8000,0,wh_vs_that_no_gap_long_distance,0.902
tinystories,60m,25,8000,0,wh_vs_that_with_gap,0.11
tinystories,60m,25,8000,0,wh_vs_that_with_gap_long_distance,0.104
tinystories,60m,25,8000,1,adjunct_island,0.739
tinystories,60m,25,8000,1,anaphor_gender_agreement,0.701
tinystories,60m,25,8000,1,anaphor_number_agreement,0.653
tinystories,60m,25,8000,1,animate_subject_passive,0.517
tinystories,60m,25,8000,1,animate_subject_trans,0.485
tinystories,60m,25,8000,1,causative,0.495
tinystories,60m,25,8000,1,complex_np_island,0.541
tinystories,60m,25,8000,1,coordinate_structure_constraint_complex_left_branch,0.237
tinystories,60m,25,8000,1,coordinate_structure_constraint_object_extraction,0.286
tinystories,60m,25,8000,1,determiner_noun_agreement_1,0.529
tinystories,60m,25,8000,1,determiner_noun_agreement_2,0.505
tinystories,60m,25,8000,1,determiner_noun_agreement_irregular_1,0.518
tinystories,60m,25,8000,1,determiner_noun_agreement_irregular_2,0.557
tinystories,60m,25,8000,1,determiner_noun_agreement_with_adj_2,0.487
tinystories,60m,25,8000,1,determiner_noun_agreement_with_adj_irregular_1,0.549
tinystories,60m,25,8000,1,determiner_noun_agreement_with_adj_irregular_2,0.527
tinystories,60m,25,8000,1,determiner_noun_agreement_with_adjective_1,0.507
tinystories,60m,25,8000,1,distractor_agreement_relational_noun,0.396
tinystories,60m,25,8000,1,distractor_agreement_relative_clause,0.432
tinystories,60m,25,8000,1,drop_argument,0.705
tinystories,60m,25,8000,1,ellipsis_n_bar_1,0.438
tinystories,60m,25,8000,1,ellipsis_n_bar_2,0.326
tinystories,60m,25,8000,1,existential_there_object_raising,0.578
tinystories,60m,25,8000,1,existential_there_quantifiers_1,0.757
tinystories,60m,25,8000,1,existential_there_quantifiers_2,0.049
tinystories,60m,25,8000,1,existential_there_subject_raising,0.464
tinystories,60m,25,8000,1,expletive_it_object_raising,0.565
tinystories,60m,25,8000,1,inchoative,0.437
tinystories,60m,25,8000,1,intransitive,0.579
tinystories,60m,25,8000,1,irregular_past_participle_adjectives,0.751
tinystories,60m,25,8000,1,irregular_past_participle_verbs,0.932
tinystories,60m,25,8000,1,irregular_plural_subject_verb_agreement_1,0.559
tinystories,60m,25,8000,1,irregular_plural_subject_verb_agreement_2,0.559
tinystories,60m,25,8000,1,left_branch_island_echo_question,0.513
tinystories,60m,25,8000,1,left_branch_island_simple_question,0.259
tinystories,60m,25,8000,1,matrix_question_npi_licensor_present,0.078
tinystories,60m,25,8000,1,npi_present_1,0.174
tinystories,60m,25,8000,1,npi_present_2,0.201
tinystories,60m,25,8000,1,only_npi_licensor_present,0.143
tinystories,60m,25,8000,1,only_npi_scope,0.066
tinystories,60m,25,8000,1,passive_1,0.637
tinystories,60m,25,8000,1,passive_2,0.639
tinystories,60m,25,8000,1,principle_a_c_command,0.375
tinystories,60m,25,8000,1,principle_a_case_1,1.0
tinystories,60m,25,8000,1,principle_a_case_2,0.492
tinystories,60m,25,8000,1,principle_a_domain_1,0.986
tinystories,60m,25,8000,1,principle_a_domain_2,0.522
tinystories,60m,25,8000,1,principle_a_domain_3,0.5
tinystories,60m,25,8000,1,principle_a_reconstruction,0.314
tinystories,60m,25,8000,1,regular_plural_subject_verb_agreement_1,0.535
tinystories,60m,25,8000,1,regular_plural_subject_verb_agreement_2,0.486
tinystories,60m,25,8000,1,sentential_negation_npi_licensor_present,0.986
tinystories,60m,25,8000,1,sentential_negation_npi_scope,0.293
tinystories,60m,25,8000,1,sentential_subject_island,0.472
tinystories,60m,25,8000,1,superlative_quantifiers_1,0.511
tinystories,60m,25,8000,1,superlative_quantifiers_2,0.559
tinystories,60m,25,8000,1,tough_vs_raising_1,0.549
tinystories,60m,25,8000,1,tough_vs_raising_2,0.493
tinystories,60m,25,8000,1,transitive,0.592
tinystories,60m,25,8000,1,wh_island,0.719
tinystories,60m,25,8000,1,wh_questions_object_gap,0.559
tinystories,60m,25,8000,1,wh_questions_subject_gap,0.797
tinystories,60m,25,8000,1,wh_questions_subject_gap_long_distance,0.845
tinystories,60m,25,8000,1,wh_vs_that_no_gap,0.864
tinystories,60m,25,8000,1,wh_vs_that_no_gap_long_distance,0.826
tinystories,60m,25,8000,1,wh_vs_that_with_gap,0.225
tinystories,60m,25,8000,1,wh_vs_that_with_gap_long_distance,0.185
tinystories,60m,25,8000,2,adjunct_island,0.585
tinystories,60m,25,8000,2,anaphor_gender_agreement,0.458
tinystories,60m,25,8000,2,anaphor_number_agreement,0.617
tinystories,60m,25,8000,2,animate_subject_passive,0.46
tinystories,60m,25,8000,2,animate_subject_trans,0.439
tinystories,60m,25,8000,2,causative,0.497
tinystories,60m,25,8000,2,complex_np_island,0.508
tinystories,60m,25,8000,2,coordinate_structure_constraint_complex_left_branch,0.373
tinystories,60m,25,8000,2,coordinate_structure_constraint_object_extraction,0.385
tinystories,60m,25,8000,2,determiner_noun_agreement_1,0.556
tinystories,60m,25,8000,2,determiner_noun_agreement_2,0.503
tinystories,60m,25,8000,2,determiner_noun_agreement_irregular_1,0.526
tinystories,60m,25,8000,2,determiner_noun_agreement_irregular_2,0.539
tinystories,60m,25,8000,2,determiner_noun_agreement_with_adj_2,0.462
tinystories,60m,25,8000,2,determiner_noun_agreement_with_adj_irregular_1,0.574
tinystories,60m,25,8000,2,determiner_noun_agreement_with_adj_irregular_2,0.549
tinystories,60m,25,8000,2,determiner_noun_agreement_with_adjective_1,0.525
tinystories,60m,25,8000,2,distractor_agreement_relational_noun,0.428
tinystories,60m,25,8000,2,distractor_agreement_relative_clause,0.468
tinystories,60m,25,8000,2,drop_argument,0.703
tinystories,60m,25,8000,2,ellipsis_n_bar_1,0.311
tinystories,60m,25,8000,2,ellipsis_n_bar_2,0.341
tinystories,60m,25,8000,2,existential_there_object_raising,0.608
tinystories,60m,25,8000,2,existential_there_quantifiers_1,0.75
tinystories,60m,25,8000,2,existential_there_quantifiers_2,0.179
tinystories,60m,25,8000,2,existential_there_subject_raising,0.427
tinystories,60m,25,8000,2,expletive_it_object_raising,0.586
tinystories,60m,25,8000,2,inchoative,0.454
tinystories,60m,25,8000,2,intransitive,0.558
tinystories,60m,25,8000,2,irregular_past_participle_adjectives,0.781
tinystories,60m,25,8000,2,irregular_past_participle_verbs,0.967
tinystories,60m,25,8000,2,irregular_plural_subject_verb_agreement_1,0.556
tinystories,60m,25,8000,2,irregular_plural_subject_verb_agreement_2,0.575
tinystories,60m,25,8000,2,left_branch_island_echo_question,0.524
tinystories,60m,25,8000,2,left_branch_island_simple_question,0.437
tinystories,60m,25,8000,2,matrix_question_npi_licensor_present,0.076
tinystories,60m,25,8000,2,npi_present_1,0.151
tinystories,60m,25,8000,2,npi_present_2,0.209
tinystories,60m,25,8000,2,only_npi_licensor_present,0.27
tinystories,60m,25,8000,2,only_npi_scope,0.152
tinystories,60m,25,8000,2,passive_1,0.623
tinystories,60m,25,8000,2,passive_2,0.618
tinystories,60m,25,8000,2,principle_a_c_command,0.403
tinystories,60m,25,8000,2,principle_a_case_1,0.999
tinystories,60m,25,8000,2,principle_a_case_2,0.467
tinystories,60m,25,8000,2,principle_a_domain_1,0.932
tinystories,60m,25,8000,2,principle_a_domain_2,0.554
tinystories,60m,25,8000,2,principle_a_domain_3,0.496
tinystories,60m,25,8000,2,principle_a_reconstruction,0.455
tinystories,60m,25,8000,2,regular_plural_subject_verb_agreement_1,0.491
tinystories,60m,25,8000,2,regular_plural_subject_verb_agreement_2,0.466
tinystories,60m,25,8000,2,sentential_negation_npi_licensor_present,0.999
tinystories,60m,25,8000,2,sentential_negation_npi_scope,0.273
tinystories,60m,25,8000,2,sentential_subject_island,0.536
tinystories,60m,25,8000,2,superlative_quantifiers_1,0.509
tinystories,60m,25,8000,2,superlative_quantifiers_2,0.673
tinystories,60m,25,8000,2,tough_vs_raising_1,0.559
tinystories,60m,25,8000,2,tough_vs_raising_2,0.496
tinystories,60m,25,8000,2,transitive,0.576
tinystories,60m,25,8000,2,wh_island,0.398
tinystories,60m,25,8000,2,wh_questions_object_gap,0.691
tinystories,60m,25,8000,2,wh_questions_subject_gap,0.847
tinystories,60m,25,8000,2,wh_questions_subject_gap_long_distance,0.895
tinystories,60m,25,8000,2,wh_vs_that_no_gap,0.909
tinystories,60m,25,8000,2,wh_vs_that_no_gap_long_distance,0.906
tinystories,60m,25,8000,2,wh_vs_that_with_gap,0.178
tinystories,60m,25,8000,2,wh_vs_that_with_gap_long_distance,0.132
tinystories,60m,50,8000,0,adjunct_island,0.703
tinystories,60m,50,8000,0,anaphor_gender_agreement,0.719
tinystories,60m,50,8000,0,anaphor_number_agreement,0.677
tinystories,60m,50,8000,0,animate_subject_passive,0.53
tinystories,60m,50,8000,0,animate_subject_trans,0.504
tinystories,60m,50,8000,0,causative,0.526
tinystories,60m,50,8000,0,complex_np_island,0.442
tinystories,60m,50,8000,0,coordinate_structure_constraint_complex_left_branch,0.249
tinystories,60m,50,8000,0,coordinate_structure_constraint_object_extraction,0.511
tinystories,60m,50,8000,0,determiner_noun_agreement_1,0.689
tinystories,60m,50,8000,0,determiner_noun_agreement_2,0.663
tinystories,60m,50,8000,0,determiner_noun_agreement_irregular_1,0.599
tinystories,60m,50,8000,0,determiner_noun_agreement_irregular_2,0.737
tinystories,60m,50,8000,0,determiner_noun_agreement_with_adj_2,0.593
tinystories,60m,50,8000,0,determiner_noun_agreement_with_adj_irregular_1,0.624
tinystories,60m,50,8000,0,determiner_noun_agreement_with_adj_irregular_2,0.655
tinystories,60m,50,8000,0,determiner_noun_agreement_with_adjective_1,0.629
tinystories,60m,50,8000,0,distractor_agreement_relational_noun,0.347
tinystories,60m,50,8000,0,distractor_agreement_relative_clause,0.376
tinystories,60m,50,8000,0,drop_argument,0.727
tinystories,60m,50,8000,0,ellipsis_n_bar_1,0.474
tinystories,60m,50,8000,0,ellipsis_n_bar_2,0.418
tinystories,60m,50,8000,0,existential_there_object_raising,0.616
tinystories,60m,50,8000,0,existential_there_quantifiers_1,0.755
tinystories,60m,50,8000,0,existential_there_quantifiers_2,0.063
tinystories,60m,50,8000,0,existential_there_subject_raising,0.498
tinystories,60m,50,8000,0,expletive_it_object_raising,0.599
tinystories,60m,50,8000,0,inchoative,0.468
tinystories,60m,50,8000,0,intransitive,0.597
tinystories,60m,50,8000,0,irregular_past_participle_adjectives,0.685
tinystories,60m,50,8000,0,irregular_past_participle_verbs,0.937
tinystories,60m,50,8000,0,irregular_plural_subject_verb_agreement_1,0.587
tinystories,60m,50,8000,0,irregular_plural_subject_verb_agreement_2,0.597
tinystories,60m,50,8000,0,left_branch_island_echo_question,0.455
tinystories,60m,50,8000,0,left_branch_island_simple_question,0.362
tinystories,60m,50,8000,0,matrix_question_npi_licensor_present,0.102
tinystories,60m,50,8000,0,npi_present_1,0.079
tinystories,60m,50,8000,0,npi_present_2,0.123
tinystories,60m,50,8000,0,only_npi_licensor_present,0.003
tinystories,60m,50,8000,0,only_npi_scope,0.124
tinystories,60m,50,8000,0,passive_1,0.647
tinystories,60m,50,8000,0,passive_2,0.635
tinystories,60m,50,8000,0,principle_a_c_command,0.383
tinystories,60m,50,8000,0,principle_a_case_1,1.0
tinystories,60m,50,8000,0,principle_a_case_2,0.566
tinystories,60m,50,8000,0,principle_a_domain_1,0.994
tinystories,60m,50,8000,0,principle_a_domain_2,0.558
tinystories,60m,50,8000,0,principle_a_domain_3,0.528
tinystories,60m,50,8000,0,principle_a_reconstruction,0.464
tinystories,60m,50,8000,0,regular_plural_subject_verb_agreement_1,0.589
tinystories,60m,50,8000,0,regular_plural_subject_verb_agreement_2,0.522
tinystories,60m,50,8000,0,sentential_negation_npi_licensor_present,0.937
tinystories,60m,50,8000,0,sentential_negation_npi_scope,0.514
tinystories,60m,50,8000,0,sentential_subject_island,0.427
tinystories,60m,50,8000,0,superlative_quantifiers_1,0.503
tinystories,60m,50,8000,0,superlative_quantifiers_2,0.529
tinystories,60m,50,8000,0,tough_vs_raising_1,0.575
tinystories,60m,50,8000,0,tough_vs_raising_2,0.501
tinystories,60m,50,8000,0,transitive,0.603
tinystories,60m,50,8000,0,wh_island,0.782
tinystories,60m,50,8000,0,wh_questions_object_gap,0.637
tinystories,60m,50,8000,0,wh_questions_subject_gap,0.828
tinystories,60m,50,8000,0,wh_questions_subject_gap_long_distance,0.907
tinystories,60m,50,8000,0,wh_vs_that_no_gap,0.876
tinystories,60m,50,8000,0,wh_vs_that_no_gap_long_distance,0.89
tinystories,60m,50,8000,0,wh_vs_that_with_gap,0.264
tinystories,60m,50,8000,0,wh_vs_that_with_gap_long_distance,0.154
tinystories,60m,50,8000,1,adjunct_island,0.724
tinystories,60m,50,8000,1,anaphor_gender_agreement,0.768
tinystories,60m,50,8000,1,anaphor_number_agreement,0.757
tinystories,60m,50,8000,1,animate_subject_passive,0.577
tinystories,60m,50,8000,1,animate_subject_trans,0.471
tinystories,60m,50,8000,1,causative,0.513
tinystories,60m,50,8000,1,complex_np_island,0.476
tinystories,60m,50,8000,1,coordinate_structure_constraint_complex_left_branch,0.3
tinystories,60m,50,8000,1,coordinate_structure_constraint_object_extraction,0.348
tinystories,60m,50,8000,1,determiner_noun_agreement_1,0.655
tinystories,60m,50,8000,1,determiner_noun_agreement_2,0.618
tinystories,60m,50,8000,1,determiner_noun_agreement_irregular_1,0.607
tinystories,60m,50,8000,1,determiner_noun_agreement_irregular_2,0.732
tinystories,60m,50,8000,1,determiner_noun_agreement_with_adj_2,0.529
tinystories,60m,50,8000,1,determiner_noun_agreement_with_adj_irregular_1,0.603
tinystories,60m,50,8000,1,determiner_noun_agreement_with_adj_irregular_2,0.623
tinystories,60m,50,8000,1,determiner_noun_agreement_with_adjective_1,0.581
tinystories,60m,50,8000,1,distractor_agreement_relational_noun,0.351
tinystories,60m,50,8000,1,distractor_agreement_relative_clause,0.399
tinystories,60m,50,8000,1,drop_argument,0.718
tinystories,60m,50,8000,1,ellipsis_n_bar_1,0.546
tinystories,60m,50,8000,1,ellipsis_n_bar_2,0.416
tinystories,60m,50,8000,1,existential_there_object_raising,0.594
tinystories,60m,50,8000,1,existential_there_quantifiers_1,0.836
tinystories,60m,50,8000,1,existential_there_quantifiers_2,0.313
tinystories,60m,50,8000,1,existential_there_subject_raising,0.511
tinystories,60m,50,8000,1,expletive_it_object_raising,0.596
tinystories,60m,50,8000,1,inchoative,0.436
tinystories,60m,50,8000,1,intransitive,0.601
tinystories,60m,50,8000,1,irregular_past_participle_adjectives,0.654
tinystories,60m,50,8000,1,irregular_past_participle_verbs,0.885
tinystories,60m,50,8000,1,irregular_plural_subject_verb_agreement_1,0.594
tinystories,60m,50,8000,1,irregular_plural_subject_verb_agreement_2,0.634
tinystories,60m,50,8000,1,left_branch_island_echo_question,0.48
tinystories,60m,50,8000,1,left_branch_island_simple_question,0.325
tinystories,60m,50,8000,1,matrix_question_npi_licensor_present,0.04
tinystories,60m,50,8000,1,npi_present_1,0.082
tinystories,60m,50,8000,1,npi_present_2,0.092
tinystories,60m,50,8000,1,only_npi_licensor_present,0.008
tinystories,60m,50,8000,1,only_npi_scope,0.127
tinystories,60m,50,8000,1,passive_1,0.657
tinystories,60m,50,8000,1,passive_2,0.646
tinystories,60m,50,8000,1,principle_a_c_command,0.456
tinystories,60m,50,8000,1,principle_a_case_1,1.0
tinystories,60m,50,8000,1,principle_a_case_2,0.554
tinystories,60m,50,8000,1,principle_a_domain_1,0.994
tinystories,60m,50,8000,1,principle_a_domain_2,0.533
tinystories,60m,50,8000,1,principle_a_domain_3,0.502
tinystories,60m,50,8000,1,principle_a_reconstruction,0.522
tinystories,60m,50,8000,1,regular_plural_subject_verb_agreement_1,0.555
tinystories,60m,50,8000,1,regular_plural_subject_verb_agreement_2,0.536
tinystories,60m,50,8000,1,sentential_negation_npi_licensor_present,1.0
tinystories,60m,50,8000,1,sentential_negation_npi_scope,0.501
tinystories,60m,50,8000,1,sentential_subject_island,0.414
tinystories,60m,50,8000,1,superlative_quantifiers_1,0.544
tinystories,60m,50,8000,1,superlative_quantifiers_2,0.898
tinystories,60m,50,8000,1,tough_vs_raising_1,0.558
tinystories,60m,50,8000,1,tough_vs_raising_2,0.483
tinystories,60m,50,8000,1,transitive,0.607
tinystories,60m,50,8000,1,wh_island,0.863
tinystories,60m,50,8000,1,wh_questions_object_gap,0.626
tinystories,60m,50,8000,1,wh_questions_subject_gap,0.817
tinystories,60m,50,8000,1,wh_questions_subject_gap_long_distance,0.932
tinystories,60m,50,8000,1,wh_vs_that_no_gap,0.879
tinystories,60m,50,8000,1,wh_vs_that_no_gap_long_distance,0.951
tinystories,60m,50,8000,1,wh_vs_that_with_gap,0.245
tinystories,60m,50,8000,1,wh_vs_that_with_gap_long_distance,0.098
tinystories,60m,50,8000,2,adjunct_island,0.764
tinystories,60m,50,8000,2,anaphor_gender_agreement,0.687
tinystories,60m,50,8000,2,anaphor_number_agreement,0.803
tinystories,60m,50,8000,2,animate_subject_passive,0.557
tinystories,60m,50,8000,2,animate_subject_trans,0.482
tinystories,60m,50,8000,2,causative,0.525
tinystories,60m,50,8000,2,complex_np_island,0.461
tinystories,60m,50,8000,2,coordinate_structure_constraint_complex_left_branch,0.301
tinystories,60m,50,8000,2,coordinate_structure_constraint_object_extraction,0.396
tinystories,60m,50,8000,2,determiner_noun_agreement_1,0.64
tinystories,60m,50,8000,2,determiner_noun_agreement_2,0.589
tinystories,60m,50,8000,2,determiner_noun_agreement_irregular_1,0.602
tinystories,60m,50,8000,2,determiner_noun_agreement_irregular_2,0.713
tinystories,60m,50,8000,2,determiner_noun_agreement_with_adj_2,0.533
tinystories,60m,50,8000,2,determiner_noun_agreement_with_adj_irregular_1,0.646
tinystories,60m,50,8000,2,determiner_noun_agreement_with_adj_irregular_2,0.647
tinystories,60m,50,8000,2,determiner_noun_agreement_with_adjective_1,0.605
tinystories,60m,50,8000,2,distractor_agreement_relational_noun,0.37
tinystories,60m,50,8000,2,distractor_agreement_relative_clause,0.411
tinystories,60m,50,8000,2,drop_argument,0.704
tinystories,60m,50,8000,2,ellipsis_n_bar_1,0.513
tinystories,60m,50,8000,2,ellipsis_n_bar_2,0.41
tinystories,60m,50,8000,2,existential_there_object_raising,0.615
tinystories,60m,50,8000,2,existential_there_quantifiers_1,0.864
tinystories,60m,50,8000,2,existential_there_quantifiers_2,0.551
tinystories,60m,50,8000,2,existential_there_subject_raising,0.501
tinystories,60m,50,8000,2,expletive_it_object_raising,0.586
tinystories,60m,50,8000,2,inchoative,0.483
tinystories,60m,50,8000,2,intransitive,0.595
tinystories,60m,50,8000,2,irregular_past_participle_adjectives,0.917
tinystories,60m,50,8000,2,irregular_past_participle_verbs,0.912
tinystories,60m,50,8000,2,irregular_plural_subject_verb_agreement_1,0.605
tinystories,60m,50,8000,2,irregular_plural_subject_verb_agreement_2,0.564
tinystories,60m,50,8000,2,left_branch_island_echo_question,0.456
tinystories,60m,50,8000,2,left_branch_island_simple_question,0.351
tinystories,60m,50,8000,2,matrix_question_npi_licensor_present,0.094
tinystories,60m,50,8000,2,npi_present_1,0.106
tinystories,60m,50,8000,2,npi_present_2,0.157
tinystories,60m,50,8000,2,only_npi_licensor_present,0.0
tinystories,60m,50,8000,2,only_npi_scope,0.101
tinystories,60m,50,8000,2,passive_1,0.652
tinystories,60m,50,8000,2,passive_2,0.656
tinystories,60m,50,8000,2,principle_a_c_command,0.5
tinystories,60m,50,8000,2,principle_a_case_1,1.0
tinystories,60m,50,8000,2,principle_a_case_2,0.616
tinystories,60m,50,8000,2,principle_a_domain_1,0.997
tinystories,60m,50,8000,2,principle_a_domain_2,0.529
tinystories,60m,50,8000,2,principle_a_domain_3,0.472
tinystories,60m,50,8000,2,principle_a_reconstruction,0.42
tinystories,60m,50,8000,2,regular_plural_subject_verb_agreement_1,0.528
tinystories,60m,50,8000,2,regular_plural_subject_verb_agreement_2,0.534
tinystories,60m,50,8000,2,sentential_negation_npi_licensor_present,0.999
tinystories,60m,50,8000,2,sentential_negation_npi_scope,0.305
tinystories,60m,50,8000,2,sentential_subject_island,0.377
tinystories,60m,50,8000,2,superlative_quantifiers_1,0.472
tinystories,60m,50,8000,2,superlative_quantifiers_2,0.735
tinystories,60m,50,8000,2,tough_vs_raising_1,0.623
tinystories,60m,50,8000,2,tough_vs_raising_2,0.439
tinystories,60m,50,8000,2,transitive,0.601
tinystories,60m,50,8000,2,wh_island,0.703
tinystories,60m,50,8000,2,wh_questions_object_gap,0.666
tinystories,60m,50,8000,2,wh_questions_subject_gap,0.854
tinystories,60m,50,8000,2,wh_questions_subject_gap_long_distance,0.898
tinystories,60m,50,8000,2,wh_vs_that_no_gap,0.875
tinystories,60m,50,8000,2,wh_vs_that_no_gap_long_distance,0.899
tinystories,60m,50,8000,2,wh_vs_that_with_gap,0.265
tinystories,60m,50,8000,2,wh_vs_that_with_gap_long_distance,0.144
tinystories,60m,75,8000,0,adjunct_island,0.642
tinystories,60m,75,8000,0,anaphor_gender_agreement,0.762
tinystories,60m,75,8000,0,anaphor_number_agreement,0.742
tinystories,60m,75,8000,0,animate_subject_passive,0.556
tinystories,60m,75,8000,0,animate_subject_trans,0.566
tinystories,60m,75,8000,0,causative,0.504
tinystories,60m,75,8000,0,complex_np_island,0.469
tinystories,60m,75,8000,0,coordinate_structure_constraint_complex_left_branch,0.209
tinystories,60m,75,8000,0,coordinate_structure_constraint_object_extraction,0.502
tinystories,60m,75,8000,0,determiner_noun_agreement_1,0.735
tinystories,60m,75,8000,0,determiner_noun_agreement_2,0.682
tinystories,60m,75,8000,0,determiner_noun_agreement_irregular_1,0.605
tinystories,60m,75,8000,0,determiner_noun_agreement_irregular_2,0.76
tinystories,60m,75,8000,0,determiner_noun_agreement_with_adj_2,0.588
tinystories,60m,75,8000,0,determiner_noun_agreement_with_adj_irregular_1,0.638
tinystories,60m,75,8000,0,determiner_noun_agreement_with_adj_irregular_2,0.649
tinystories,60m,75,8000,0,determiner_noun_agreement_with_adjective_1,0.673
tinystories,60m,75,8000,0,distractor_agreement_relational_noun,0.354
tinystories,60m,75,8000,0,distractor_agreement_relative_clause,0.368
tinystories,60m,75,8000,0,drop_argument,0.747
tinystories,60m,75,8000,0,ellipsis_n_bar_1,0.47
tinystories,60m,75,8000,0,ellipsis_n_bar_2,0.447
tinystories,60m,75,8000,0,existential_there_object_raising,0.653
tinystories,60m,75,8000,0,existential_there_quantifiers_1,0.854
tinystories,60m,75,8000,0,existential_there_quantifiers_2,0.207
tinystories,60m,75,8000,0,existential_there_subject_raising,0.473
tinystories,60m,75,8000,0,expletive_it_object_raising,0.644
tinystories,60m,75,8000,0,inchoative,0.488
tinystories,60m,75,8000,0,intransitive,0.639
tinystories,60m,75,8000,0,irregular_past_participle_adjectives,0.601
tinystories,60m,75,8000,0,irregular_past_participle_verbs,0.962
tinystories,60m,75,8000,0,irregular_plural_subject_verb_agreement_1,0.599
tinystories,60m,75,8000,0,irregular_plural_subject_verb_agreement_2,0.614
tinystories,60m,75,8000,0,left_branch_island_echo_question,0.523
tinystories,60m,75,8000,0,left_branch_island_simple_question,0.289
tinystories,60m,75,8000,0,matrix_question_npi_licensor_present,0.052
tinystories,60m,75,8000,0,npi_present_1,0.089
tinystories,60m,75,8000,0,npi_present_2,0.131
tinystories,60m,75,8000,0,only_npi_licensor_present,0.047
tinystories,60m,75,8000,0,only_npi_scope,0.33
tinystories,60m,75,8000,0,passive_1,0.678
tinystories,60m,75,8000,0,passive_2,0.66
tinystories,60m,75,8000,0,principle_a_c_command,0.38
tinystories,60m,75,8000,0,principle_a_case_1,1.0
tinystories,60m,75,8000,0,principle_a_case_2,0.696
tinystories,60m,75,8000,0,principle_a_domain_1,0.985
